transaction_id,transaction_time,customer_id,merchant,category,amount,is_fraud,risk_level
1,2024-01-01 10:15:00,101,Amazon,Shopping,120.5,0,LOW
2,2024-01-01 10:16:00,417,Walmart,Electronics,4496.19,1,HIGH
3,2024-01-01 10:17:00,280,Flipkart,Electronics,1673.31,0,MEDIUM
4,2024-01-01 10:18:00,377,Flipkart,Grocery,4214.11,1,HIGH
5,2024-01-01 10:19:00,335,Flipkart,Subscription,2842.56,0,MEDIUM
6,2024-01-01 10:20:00,285,Swiggy,Food,1071.47,1,MEDIUM
7,2024-01-01 10:21:00,371,Swiggy,Electronics,2190.66,0,MEDIUM
8,2024-01-01 10:22:00,242,Uber,Transport,4395.9,0,HIGH
9,2024-01-01 10:23:00,473,Flipkart,Food,3886.36,0,HIGH
10,2024-01-01 10:24:00,302,Amazon,Food,271.43,1,LOW
11,2024-01-01 10:25:00,324,Apple,Food,4560.24,1,HIGH
12,2024-01-01 10:26:00,385,Amazon,Transport,1706.29,0,MEDIUM
13,2024-01-01 10:27:00,106,Walmart,Shopping,1239.35,1,MEDIUM
14,2024-01-01 10:28:00,110,Flipkart,Electronics,1281.85,0,MEDIUM
15,2024-01-01 10:29:00,483,Walmart,Transport,5191.1,0,HIGH
16,2024-01-01 10:30:00,454,Netflix,Food,280.28,0,LOW
17,2024-01-01 10:31:00,442,Walmart,Food,5366.25,1,HIGH
18,2024-01-01 10:32:00,276,Amazon,Electronics,2645.51,0,MEDIUM
19,2024-01-01 10:33:00,365,Apple,Grocery,3896.42,1,HIGH
20,2024-01-01 10:34:00,355,Apple,Shopping,797.73,0,LOW
21,2024-01-01 10:35:00,313,Amazon,Subscription,2765.77,1,MEDIUM
22,2024-01-01 10:36:00,241,Swiggy,Subscription,2218.9,0,MEDIUM
23,2024-01-01 10:37:00,346,Amazon,Subscription,761.56,0,LOW
24,2024-01-01 10:38:00,171,Swiggy,Electronics,335.87,0,LOW
25,2024-01-01 10:39:00,472,Flipkart,Subscription,5000.72,0,HIGH
26,2024-01-01 10:40:00,190,Netflix,Subscription,73.81,0,LOW
27,2024-01-01 10:41:00,155,Flipkart,Food,5389.57,1,HIGH
28,2024-01-01 10:42:00,492,Uber,Shopping,4760.59,0,HIGH
29,2024-01-01 10:43:00,304,Amazon,Grocery,304.69,1,LOW
30,2024-01-01 10:44:00,133,Netflix,Transport,3026.86,1,HIGH
31,2024-01-01 10:45:00,320,Uber,Shopping,5492.53,0,HIGH
32,2024-01-01 10:46:00,198,Walmart,Shopping,854.87,1,LOW
33,2024-01-01 10:47:00,371,Apple,Subscription,1841.63,1,MEDIUM
